                                                            ZZ203S       0636150081450009845251223475                                                      20161129               
                                                            203B S       0275665035295004266250530150                                                      20161129               
9999900000NON-METRO                                         203B S01370000275665035295004266250530150AK013ALASKA                    ALEUTIANS EAST 201611292017010102140002013    
9999900000NON-METRO                                         203B H02390000385250049320005961500740850AK016ALASKA                    ALEUTIANS WEST 201611292014010103350002013    
1126000000ANCHORAGE, AK                                     203B H03450000396750050790006139500763000AK020ALASKA                    ANCHORAGE MUNIC201611292017010103450002016    
9999900000NON-METRO                                         203B S02070000275665035295004266250530150AK050ALASKA                    BETHEL CENSUS A201611292017010102080002015    
9999900000NON-METRO                                         203B H02290000313950040190004858000603750AK060ALASKA                    BRISTOL BAY BOR201611292016010102730002015    
9999900000NON-METRO                                         203B H02190000297850038130004609000572800AK068ALASKA                    DENALI BOROUGH 201611292014010102590002013    
9999900000NON-METRO                                         203B S02220000275665035295004266250530150AK070ALASKA                    DILLINGHAM CENS201611292017010102220002016    
2182000000FAIRBANKS, AK                                     203B S02310000275665035295004266250530150AK090ALASKA                    FAIRBANKS NORTH201611292017010102390002013    
9999900000NON-METRO                                         203B H01690000284050036360004395500546250AK100ALASKA                    HAINES BOROUGH 201611292013010102470002012    
9999900000NON-METRO                                         203B H02450000281750036070004360000541800AK105ALASKA                    HOONAH-ANGOON C201611292017010102450002016    
2794000000JUNEAU, AK                                        203B H03700000425500054470006584500818250AK110ALASKA                    JUNEAU CITY AND201611292017010103700002016    
9999900000NON-METRO                                         203B S02190000275665035295004266250530150AK122ALASKA                    KENAI PENINSULA201611292017010102190002016    
2854000000KETCHIKAN, AK                                     203B H02830000325450041660005036000625850AK130ALASKA                    KETCHIKAN GATEW201611292017010102830002016    
9999900000NON-METRO                                         203B H03200000381800048875005908000734250AK150ALASKA                    KODIAK ISLAND B201611292014010103320002013    
9999900000NON-METRO                                         203B S01340000275665035295004266250530150AK158ALASKA                    KUSILVAK CENSUS201611212017010101610002013    
9999900000NON-METRO                                         203B S01640000275665035295004266250530150AK164ALASKA                    LAKE AND PENINS201611292017010101640002016    
1126000000ANCHORAGE, AK                                     203B H03450000396750050790006139500763000AK170ALASKA                    MATANUSKA-SUSIT201611292017010103450002016    
9999900000NON-METRO                                         203B H03070000353050045195005463000678950AK180ALASKA                    NOME CENSUS ARE201611292017010103070002016    
9999900000NON-METRO                                         203B H01710000332350042545005143000639150AK185ALASKA                    NORTH SLOPE BOR201611292014010102890002013    
9999900000NON-METRO                                         203B S02040000275665035295004266250530150AK188ALASKA                    NORTHWEST ARCTI201611292017010102040002016    
9999900000NON-METRO                                         203B H02520000332350042545005143000639150AK195ALASKA                    PETERSBURG CENS201611292014010102890002013    
9999900000NON-METRO                                         203B S01820000275665035295004266250530150AK198ALASKA                    PRINCE OF WALES201611292017010102250002013    
9999900000NON-METRO                                         203B H03490000451950057855006993500869150AK220ALASKA                    SITKA CITY AND 201611292015010103930002014    
9999900000NON-METRO                                         203B H03610000415150053145006424000798350AK230ALASKA                    SKAGWAY MUNICIP201611292017010103610002016    
9999900000NON-METRO                                         203B S02280000275665035295004266250530150AK240ALASKA                    SOUTHEAST FAIRB201611292017010102280002016    
9999900000NON-METRO                                         203B H02160000293250037540004537500563950AK261ALASKA                    VALDEZ-CORDOVA 201611292014010102550002013    
9999900000NON-METRO                                         203B H01870000332350042545005143000639150AK275ALASKA                    WRANGELL CITY A201611292014010102890002013    
9999900000NON-METRO                                         203B H01560000420900053880006513000809450AK282ALASKA                    YAKUTAT CITY AN201611292014010103660002013    
9999900000NON-METRO                                         203B S01130000275665035295004266250530150AK290ALASKA                    YUKON-KOYUKUK C201611292017010101170002015    
3386000000MONTGOMERY, AL                                    203B S01470000275665035295004266250530150AL001ALABAMA                   AUTAUGA        201611292017010101720002011    
1930000000DAPHNE-FAIRHOPE-FOLEY, AL                         203B S01710000275665035295004266250530150AL003ALABAMA                   BALDWIN        201611292017010101950002008    
9999900000NON-METRO                                         203B S00920000275665035295004266250530150AL005ALABAMA                   BARBOUR        201611292016112901260002010    
1382000000BIRMINGHAM-HOOVER, AL                             203B S01870000275665035295004266250530150AL007ALABAMA                   BIBB           201611292017010101870002015    
1382000000BIRMINGHAM-HOOVER, AL                             203B S01870000275665035295004266250530150AL009ALABAMA                   BLOUNT         201611292017010101870002015    
9999900000NON-METRO                                         203B S00710000275665035295004266250530150AL011ALABAMA                   BULLOCK        201611292017010100760002010    
9999900000NON-METRO                                         203B S00780000275665035295004266250530150AL013ALABAMA                   BUTLER         201611292017010100810002010    
1150000000ANNISTON-OXFORD-JACKSONVILLE, AL                  203B S01130000275665035295004266250530150AL015ALABAMA                   CALHOUN        201611292017010101140002014    
4674000000VALLEY, AL                                        203B S00560000275665035295004266250530150AL017ALABAMA                   CHAMBERS       201611292017010100980002010    
9999900000NON-METRO                                         203B S00980000275665035295004266250530150AL019ALABAMA                   CHEROKEE       201611292017010101090002010    
1382000000BIRMINGHAM-HOOVER, AL                             203B S01870000275665035295004266250530150AL021ALABAMA                   CHILTON        201611292017010101870002015    
9999900000NON-METRO                                         203B S00610000275665035295004266250530150AL023ALABAMA                   CHOCTAW        201611292017010100840002010    
9999900000NON-METRO                                         203B S00870000275665035295004266250530150AL025ALABAMA                   CLARKE         201611292017010101130002010    
9999900000NON-METRO                                         203B S00530000275665035295004266250530150AL027ALABAMA                   CLAY           201611292017010100870002010    
9999900000NON-METRO                                         203B S01040000275665035295004266250530150AL029ALABAMA                   CLEBURNE       201611292017010101070002010    
2146000000ENTERPRISE, AL                                    203B S01230000275665035295004266250530150AL031ALABAMA                   COFFEE         201611292017010101360002014    
2252000000FLORENCE-MUSCLE SHOALS, AL                        203B S01540000275665035295004266250530150AL033ALABAMA                   COLBERT        201611292017010101540002015    
9999900000NON-METRO                                         203B S00680000275665035295004266250530150AL035ALABAMA                   CONECUH        201611292017010100780002010    
4518000000TALLADEGA-SYLACAUGA, AL                           203B S01010000275665035295004266250530150AL037ALABAMA                   COOSA          201611292017010101470002012    
9999900000NON-METRO                                         203B S00740000275665035295004266250530150AL039ALABAMA                   COVINGTON      201611292017010100820002009    
9999900000NON-METRO                                         203B S00700000275665035295004266250530150AL041ALABAMA                   CRENSHAW       201611292017010100720002015    
1898000000CULLMAN, AL                                       203B S00960000275665035295004266250530150AL043ALABAMA                   CULLMAN        201611292017010101140002008    
3712000000OZARK, AL                                         203B S00690000275665035295004266250530150AL045ALABAMA                   DALE           201611292016112901180002013    
4282000000SELMA, AL                                         203B S00820000275665035295004266250530150AL047ALABAMA                   DALLAS         201611292017010100970002010    
9999900000NON-METRO                                         203B S00970000275665035295004266250530150AL049ALABAMA                   DEKALB         201611292016112901070002014    
3386000000MONTGOMERY, AL                                    203B S01470000275665035295004266250530150AL051ALABAMA                   ELMORE         201611292017010101720002011    
9999900000NON-METRO                                         203B S01020000275665035295004266250530150AL053ALABAMA                   ESCAMBIA       201611292017010101020002016    
2346000000GADSDEN, AL                                       203B S01140000275665035295004266250530150AL055ALABAMA                   ETOWAH         201611292017010101160002009    
9999900000NON-METRO                                         203B S00750000275665035295004266250530150AL057ALABAMA                   FAYETTE        201611292017010101110002010    
9999900000NON-METRO                                         203B S00610000275665035295004266250530150AL059ALABAMA                   FRANKLIN       201611292017010100920002010    
